ID	CNT_1	CNT_10	CNT_2	CNT_3	CNT_4	CNT_5	CNT_6	CNT_7	CNT_8	CNT_9	ICM_1	ICM_10	ICM_11	ICM_12	ICM_13	ICM_2	ICM_3	ICM_4	ICM_5	ICM_6	ICM_7	ICM_8	ICM_9
ENSG00000203485	266.6	110.18	166.05	77.51	163	237.92	170.52	140.88	150.8	179.16	132.3	83.32	168.15	192.57	179.77	160.87	266.11	241.65	402.6	202.15	176.93	223.09	178.15
ENSG00000106244	180.57	187.89	174.64	156.33	212.28	164.12	294.63	311.07	219.95	192.8	194.04	255.76	152.42	169.69	296.66	125.34	211.12	194.1	230.61	190.43	139.99	161.58	158.68
ENSG00000072210	170.17	320.69	217.58	353.38	331.68	168	259.31	225.98	152.72	303.8	365.54	174.38	260.58	167.78	348.73	318.77	324.05	197.01	111.46	267.58	184.71	263.74	352.41
ENSG00000106246	159.77	48.2	34.35	32.84	36.96	94.2	42.38	72.8	81.64	55.5	67.62	60.07	98.33	89.61	92.34	30.59	92.31	131.99	104.73	69.34	121.52	103.2	66.2
ENSG00000110848	0	4.92	11.45	5.25	2.84	6.8	2.02	2.84	1.92	1.95	1.96	9.69	0	0	4.91	7.9	5.89	1.94	0	0.98	2.92	2.08	7.79
ENSG00000007341	82.25	97.39	55.35	81.45	84.34	176.74	145.3	92.66	96.05	78.87	72.52	93.97	97.35	89.61	92.34	78.95	146.31	92.2	39.4	90.82	91.38	106.33	92.48
ENSG00000106799	122.9	160.35	142.19	181.29	160.16	106.82	340.03	89.82	191.14	118.79	158.76	141.44	119.97	157.29	99.21	119.42	118.82	111.61	33.63	117.19	93.33	113.63	164.52
ENSG00000266173	259.04	167.23	132.65	112.98	104.24	279.68	90.81	179.65	214.19	131.45	149.94	149.19	208.47	285.03	202.36	125.34	217.02	373.64	358.4	231.45	222.63	239.77	135.32
ENSG00000006606	1.89	0.98	1.91	0	0.95	0	8.07	0	1.92	1.95	1.96	3.88	1.97	1.91	0	0.99	15.71	0	4.8	0	2.92	6.25	0.97
ENSG00000197386	273.22	156.41	227.12	149.76	177.21	216.56	105.95	159.79	163.29	237.59	178.36	165.66	210.43	278.36	238.7	143.1	201.3	192.16	343.99	188.48	172.07	280.42	167.44
ENSG00000128463	150.32	416.12	397.94	363.89	471.94	279.68	213.91	383.88	305.44	429.41	465.5	167.6	449.38	173.5	433.21	409.57	223.89	208.66	124.91	397.46	210.96	353.39	454.63
ENSG00000104866	240.13	93.45	106.88	42.04	68.23	83.52	136.22	86.99	103.73	83.74	105.84	50.38	125.87	136.32	188.61	75.01	164.97	171.78	94.16	125.98	100.13	127.18	110.01
ENSG00000100836	1205.39	351.19	268.16	186.54	194.27	1053.66	502.48	599.45	574.38	271.67	250.88	617.12	460.2	619.64	494.11	159.88	537.14	717.2	1004.1	501.96	626.07	316.91	346.57
ENSG00000197381	273.22	180.02	163.18	118.23	136.46	365.14	706.3	216.52	340.02	202.53	137.2	184.07	251.73	324.12	150.3	146.06	286.74	168.87	327.65	215.82	297.48	215.79	177.18
ENSG00000014641	2528.96	6183.7	7629.61	10718.19	9281.42	2818.19	2378.22	4037.31	3624.93	9400.24	9936.16	8392.7	4715.08	3272.66	7681.78	10068.43	3731.5	3533.59	2001.48	5340.86	3808.94	4730.67	7575.89
ENSG00000140987	57.67	58.04	27.67	77.51	59.7	69.92	70.63	86.99	47.06	65.24	42.14	60.07	42.28	45.76	43.22	42.44	72.67	33	29.79	72.27	36.94	52.12	52.57
ENSG00000179583	219.33	325.61	84.93	84.07	97.61	101	42.38	38.77	99.89	183.06	45.08	16.47	50.15	40.04	78.59	44.41	49.1	49.5	40.36	67.38	23.33	77.14	34.07
ENSG00000151338	10.4	23.61	20.04	19.7	28.43	41.76	23.21	19.86	22.09	16.55	18.62	1.94	6.88	22.88	19.65	22.7	11.78	14.56	20.18	12.7	15.55	12.51	18.5
ENSG00000179588	170.17	49.19	34.35	17.08	36.01	106.82	75.68	155.06	142.15	29.21	43.12	74.6	129.8	148.71	148.33	37.5	100.16	146.55	134.52	89.84	127.35	111.54	77.88
